"www.agrometeorologia.cl","",""
"Red Agrometeorológica de INIA","",""
"Generado el 20-08-2024 18:44:44","",""
"Evapotranspiración mm","",""
"","",""
"Tiempo UTC-4","San Pedro de Melipilla","San Pedro de Melipilla % de datos"
"Ene-2014","153.59","100"
"Feb-2014","116.75","100"
"Mar-2014","96.59","100"
"Abr-2014","60.6","100"
"May-2014","32.2","100"
"Jun-2014","20.56","100"
"Jul-2014","24.34","100"
"Ago-2014","39.99","100"
"Sep-2014","52.75","100"
"Oct-2014","97.21","100"
"Nov-2014","116.41","100"
"Dic-2014","134.85","100"
"Ene-2015","134.94","100"
"Feb-2015","110.01","100"
"Mar-2015","104.15","100"
"Abr-2015","63.55","100"
"May-2015","34.76","100"
"Jun-2015","25.39","100"
"Jul-2015","23.89","100"
"Ago-2015","40.61","100"
"Sep-2015","62","100"
"Oct-2015","83.46","100"
"Nov-2015","117.04","100"
"Dic-2015","147.74","100"
"Ene-2016","130.44","100"
"Feb-2016","117.96","100"
"Mar-2016","83.42","100"
"Abr-2016","45.02","100"
"May-2016","27.49","100"
"Jun-2016","18.66","100"
"Jul-2016","24.4","100"
"Ago-2016","44.05","100"
"Sep-2016","62.62","100"
"Oct-2016","94.49","100"
"Nov-2016","130.96","100"
"Dic-2016","138.4","100"
"Ene-2017","163.75","100"
"Feb-2017","116.02","100"
"Mar-2017","96.19","100"
"Abr-2017","59.5","100"
"May-2017","29.14","100"
"Jun-2017","21.22","100"
"Jul-2017","24.85","100"
"Ago-2017","36.43","100"
"Sep-2017","58.81","100"
"Oct-2017","90.95","100"
"Nov-2017","112.73","100"
"Dic-2017","144.14","100"
"Ene-2018","131.35","100"
"Feb-2018","110.5","100"
"Mar-2018","98.21","100"
"Abr-2018","53.43","100"
"May-2018","33.89","100"
"Jun-2018","20.27","100"
"Jul-2018","22.35","94"
"Ago-2018","40.63","100"
"Sep-2018","60.34","100"
"Oct-2018","89.3","100"
"Nov-2018","132.08","100"
"Dic-2018","142.75","100"
"Ene-2019","143.88","100"
"Feb-2019","106.12","100"
"Mar-2019","93.9","100"
"Abr-2019","51.09","100"
"May-2019","30.9","100"
"Jun-2019","19.99","100"
"Jul-2019","23.89","100"
"Ago-2019","43.07","100"
"Sep-2019","62.57","100"
"Oct-2019","101.36","100"
"Nov-2019","141.8","100"
"Dic-2019","166.04","100"
"Ene-2020","143.76","100"
"Feb-2020","118.65","100"
"Mar-2020","96.26","100"
"Abr-2020","58.57","100"
"May-2020","34.96","100"
"Jun-2020","19.01","100"
"Jul-2020","24.35","100"
"Ago-2020","42.21","100"
"Sep-2020","65.12","100"
"Oct-2020","98.15","100"
"Nov-2020","115.88","100"
"Dic-2020","147.39","100"
"Ene-2021","132.24","100"
"Feb-2021","85.07","100"
"Mar-2021","85.11","100"
"Abr-2021","50.52","100"
"May-2021","31.68","100"
"Jun-2021","21.24","100"
"Jul-2021","23.73","100"
"Ago-2021","35.58","100"
"Sep-2021","63.45","100"
"Oct-2021","102.54","100"
"Nov-2021","123.35","100"
"Dic-2021","133.06","100"
"Ene-2022","141.08","100"
"Feb-2022","111.36","100"
"Mar-2022","91.95","100"
"Abr-2022","53.06","100"
"May-2022","28.59","100"
"Jun-2022","19.7","100"
"Jul-2022","22.41","100"
"Ago-2022","36.1","100"
"Sep-2022","52.25","100"
"Oct-2022","93.72","100"
"Nov-2022","106.57","100"
"Dic-2022","152.3","100"
"Ene-2023","139.85","100"
"Feb-2023","112.3","100"
"Mar-2023","97.61","100"
"Abr-2023","49.83","97"
"May-2023","30.21","100"
"Jun-2023","19.52","100"
"Jul-2023","22.86","100"
"Ago-2023","38.67","100"
"Sep-2023","53.91","100"
"Oct-2023","80.42","100"
"Nov-2023","100.31","100"
"Dic-2023","132.29","100"
"Ene-2024","122.53","94"
"","",""
"","",""
"El uso de los datos en publicaciones debe señalar la fuente de los datos y que es una colaboración entre INIA y las instituciones que mantienen convenio con INIA. Adicionalmente, se solicita colocar en un lugar visible el logo de la red agrometeorológica de INIA.","",""
"Descargar logo desde: https://agrometeorologia.cl/assets/img/agrometeorologia-logo.png","",""
